Time(s),Position_Error(m),Angle_Error(rad)
0.00,0.000000,0.100000
0.02,0.000000,0.100000
0.04,0.026558,0.073967
0.06,0.053757,0.047687
0.08,0.107558,-0.004832
0.10,0.152507,-0.048322
0.12,0.176306,-0.070681
0.14,0.182804,-0.075949
0.16,0.181493,-0.073705
0.18,0.180123,-0.071699
0.20,0.152158,-0.043460
0.22,0.120137,-0.011455
0.24,0.061478,0.046991
0.26,0.014569,0.093643
0.28,-0.008174,0.116340
0.30,-0.011862,0.120433
0.32,-0.007266,0.116752
0.34,-0.002817,0.113690
0.36,0.028163,0.084734
0.38,0.061263,0.054117
0.40,0.084534,0.033626
0.42,0.097018,0.024118
0.44,0.103199,0.021042
0.46,0.108025,0.019415
0.48,0.114413,0.016308
0.50,0.123021,0.011059
0.52,0.133162,0.004340
0.54,0.143837,-0.002869
0.56,0.154341,-0.009890
0.58,0.164413,-0.016490
0.60,0.174101,-0.022746
0.62,0.183564,-0.028840
0.64,0.192925,-0.034923
0.66,0.202227,-0.041059
0.68,0.211443,-0.047246
0.70,0.220518,-0.053453
0.72,0.229395,-0.059648
0.74,0.238032,-0.065814
0.76,0.246404,-0.071948
0.78,0.254491,-0.078056
0.80,0.262273,-0.084143
0.82,0.269733,-0.090213
0.84,0.276845,-0.096268
0.86,0.283587,-0.102306
0.88,0.289931,-0.108327
0.90,0.295854,-0.114329
0.92,0.301331,-0.120312
0.94,0.306339,-0.126275
0.96,0.310852,-0.132220
0.98,0.314849,-0.138147
1.00,0.318305,-0.144054
1.02,0.321197,-0.149943
1.04,0.323500,-0.155812
1.06,0.325191,-0.161663
1.08,0.326247,-0.167495
1.10,0.326643,-0.173308
1.12,0.300602,-0.153707
1.14,0.248125,-0.108744
1.16,0.169132,-0.038178
1.18,0.107273,0.014930
1.20,0.072080,0.041241
1.22,0.058615,0.045886
1.24,0.054828,0.041021
1.26,0.050881,0.036498
1.28,0.042405,0.036661
1.30,0.029521,0.041371
1.32,0.014356,0.048504
1.34,-0.000994,0.055986
1.36,-0.015391,0.062704
1.38,-0.028633,0.068491
1.40,-0.041033,0.073682
1.42,-0.052986,0.078695
1.44,-0.064734,0.083794
1.46,-0.076335,0.089053
1.48,-0.087721,0.094429
1.50,-0.098794,0.099840
1.52,-0.109473,0.105229
1.54,-0.119712,0.110572
1.56,-0.129494,0.115872
1.58,-0.138811,0.121143
1.60,-0.147655,0.126398
1.62,-0.156011,0.131643
1.64,-0.163859,0.136878
1.66,-0.171175,0.142101
1.68,-0.177935,0.147310
1.70,-0.184118,0.152502
1.72,-0.189702,0.157678
1.74,-0.194667,0.162838
1.76,-0.198991,0.167981
1.78,-0.202655,0.173109
1.80,-0.205638,0.178222
1.82,-0.207919,0.183319
1.84,-0.209477,0.188401
1.86,-0.205372,0.188628
1.88,-0.174874,0.163666
1.90,-0.117965,0.113496
1.92,-0.068462,0.071273
1.94,-0.038176,0.048588
1.96,-0.023800,0.042052
1.98,-0.016587,0.042862
2.00,-0.009221,0.043682
2.02,0.001658,0.041162
2.04,0.016066,0.035287
2.06,0.032476,0.027574
2.08,0.049331,0.019553
2.10,0.065755,0.012072
2.12,0.081564,0.005283
2.14,0.096965,-0.001051
2.16,0.112238,-0.007236
2.18,0.127557,-0.013471
2.20,0.142959,-0.019818
2.22,0.158388,-0.026245
2.24,0.173762,-0.032695
2.26,0.189010,-0.039121
2.28,0.204089,-0.045506
2.30,0.218974,-0.051852
2.32,0.233652,-0.058169
2.34,0.248106,-0.064466
2.36,0.262318,-0.070749
2.38,0.276261,-0.077017
2.40,0.289910,-0.083269
2.42,0.303238,-0.089502
2.44,0.316219,-0.095716
2.46,0.328827,-0.101910
2.48,0.341039,-0.108084
2.50,0.352830,-0.114239
2.52,0.364176,-0.120374
2.54,0.375052,-0.126490
2.56,0.385434,-0.132587
2.58,0.395297,-0.138664
2.60,0.404617,-0.144722
2.62,0.413370,-0.150760
2.64,0.421531,-0.156778
2.66,0.429076,-0.162777
2.68,0.435981,-0.168756
2.70,0.442221,-0.174715
2.72,0.447772,-0.180654
2.74,0.452611,-0.186574
2.76,0.456713,-0.192474
2.78,0.460054,-0.198353
2.80,0.462610,-0.204214
2.82,0.464358,-0.210054
2.84,0.465272,-0.215874
2.86,0.465329,-0.221675
2.88,0.455223,-0.218388
2.90,0.418802,-0.190293
2.92,0.356030,-0.137324
2.94,0.302275,-0.093950
2.96,0.269222,-0.071621
2.98,0.252841,-0.066259
3.00,0.243705,-0.068404
3.02,0.234121,-0.070361
3.04,0.220650,-0.068709
3.06,0.203357,-0.063520
3.08,0.183885,-0.056427
3.10,0.163868,-0.049039
3.12,0.144208,-0.042229
3.14,0.125078,-0.036141
3.16,0.106250,-0.030519
3.18,0.087424,-0.025042
3.20,0.068417,-0.019503
3.22,0.049188,-0.013841
3.24,0.029793,-0.008090
3.26,0.010316,-0.002310
3.28,-0.009173,0.003450
3.30,-0.028634,0.009173
3.32,-0.048046,0.014860
3.34,-0.067398,0.020523
3.36,-0.086677,0.026171
3.38,-0.105865,0.031809
3.40,-0.124941,0.037438
3.42,-0.143881,0.043055
3.44,-0.162660,0.048658
3.46,-0.181254,0.054247
3.48,-0.199643,0.059820
3.50,-0.217803,0.065377
3.52,-0.235712,0.070920
3.54,-0.253350,0.076448
3.56,-0.270695,0.081961
